vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht
5766,6695,3.7361668348e-06,1.340833745114524e-05,0.0,4.6913994649241576e-20,0.3
5766,6694,3.7361668348e-06,1.340833745114524e-05,0.0,0.0,0.3
5828,6696,4.973899364499999e-06,7.56542735189869e-06,8.779515092945717e-18,5.772595717845238e-07,0.3
6012,6697,4.5105600357e-06,9.199548599488372e-06,1.0792760409736485e-17,8.382447876327679e-07,0.3
6614,6699,3.5508066416e-06,1.4844767714820717e-05,6.458298054531966e-17,7.43967251127804e-06,0.3
6614,6698,3.5508066416e-06,1.4844767714820717e-05,-6.95700492233504e-17,-8.014160672749085e-06,0.3
6669,6698,3.8853638172e-06,1.239835509146163e-05,6.994957502754574e-17,6.960601991025677e-06,0.3
0,1,5.477177143e-06,5.133755908857856e-05,-1.36639890815776e-15,-7.596878799993317e-05,0.3
0,9,4.101261139e-06,8.160817911150267e-05,3.1304042210409643e-16,2.8497756270938873e-05,0.3
0,77,5.7588582038e-06,0.0001379873687604,8.711995453942356e-16,4.432520004781307e-05,0.3
0,25,4.604748725800001e-06,0.0001429627892129,1.82158940659434e-16,1.3662375526992808e-05,0.3
1,59,8.724498748799999e-06,7.141129773093702e-05,3.535940217727753e-15,8.317025687749835e-05,0.3
1,46,1e-05,0.000257633049686,-4.902339125885494e-15,-8.838174204733141e-05,0.3
2,112,8.684271812400003e-06,0.0001177700365786,-5.553661250192686e-16,-1.3179949278253433e-05,0.3
2,5,2.4e-05,3.553444046914421e-05,-2.4948075512007308e-15,-7.565731776636439e-06,0.3
2,14,2.4e-05,0.0001448123960968,3.0501736762201274e-15,9.249930278322241e-06,0.3
3,50,7.0085449218e-06,0.0001051146402448,-2.1523188780730373e-16,-7.663955624145121e-06,0.3
3,12,5.7946753502e-06,5.265612529163336e-05,-2.540280654981025e-16,-1.2782677015381118e-05,0.3
3,6,1.5032551765399998e-05,3.287345747344081e-05,4.69259953305354e-16,3.731003398623134e-06,0.3
5,10,2.4e-05,2.141348460451408e-05,-2.355219662850124e-15,-7.1424187551492785e-06,0.3
5,79,4.703518867399999e-06,4.899781312642294e-05,-1.3958788834942238e-16,-1.0099120206008637e-05,0.3
6,23,2.5849496842e-05,6.218716597242557e-05,1.9754201001496663e-15,5.133525425205391e-06,0.3
6,24,2.0909374238e-05,3.182696920902816e-05,-1.5061601468441473e-15,-6.078303848905111e-06,0.3
7,17,5.7912335396e-06,9.65753420716278e-05,-2.2664464391759384e-15,-0.00011416819779076148,0.3
7,33,6.817298412399999e-06,0.0001055042742597,1.872830507335773e-15,7.01889765510598e-05,0.3
4,8,2.4e-05,3.643053561740387e-05,-5.3763614177297966e-15,-1.6304307080208804e-05,0.3
8,14,2.4e-05,0.0003136124580261,-4.947932125540009e-15,-1.5005056118585696e-05,0.3
8,713,9.6000003814e-06,0.0001475164675685,-4.2842929218998197e-16,-8.368107456538735e-06,0.3
9,29,4.238477706999999e-06,3.612022690677111e-05,2.238297125846858e-16,1.9293642209989004e-05,0.3
9,13,4.6111645698e-06,4.11160981605601e-05,8.921070951941024e-17,6.675269722326232e-06,0.3
10,246,6.6572799682e-06,0.0001939360227919,-2.7782346443955645e-16,-1.0877243376600409e-05,0.3
10,71,2.4e-05,0.0001670720357256,-2.0773961984114827e-15,-6.299893722632439e-06,0.3
11,58,2.4732089042e-06,0.0001008712705998,-6.82144385731602e-18,-1.4199231011981881e-06,0.3
11,27,7.0183916092e-06,9.188905057061256e-05,-9.14898578516833e-16,-3.2492882013635603e-05,0.3
11,38,7.0516505242e-06,3.5805789449927346e-05,9.217200223741466e-16,3.244914228575296e-05,0.3
12,15,7.313676357199999e-06,2.22672202345721e-05,-1.9740219820343596e-16,-6.492693364919912e-06,0.3
12,74,6.179308414399999e-06,6.18727285155818e-05,-5.662586729467353e-17,-2.539141512540165e-06,0.3
13,222,4.609482288399999e-06,0.0001406086630684,9.640794543129663e-17,7.218268266696088e-06,0.3
13,88,3.4715163708e-06,3.250913196383238e-05,-7.197235911885996e-18,-8.598268280952514e-07,0.3
14,98,1.00206279754e-05,4.643393540575588e-05,-1.897758449319996e-15,-3.407525216579235e-05,0.3
15,18,5.013195514599999e-06,3.094938298937632e-05,-8.482550821522408e-17,-5.5022229958976534e-06,0.3
15,20,5.674064636199999e-06,2.90204508012418e-05,-1.1257668998821688e-16,-5.880597945335335e-06,0.3
16,18,2.935755968e-06,6.684742001026995e-05,6.429020543204274e-18,1.003363519069726e-06,0.3
16,19,4.4392352104e-06,1.3170843917394794e-05,-4.80880482787174e-17,-3.836408893504736e-06,0.3
16,85,4.604613781e-06,5.187685726179281e-05,4.165902773551354e-17,3.124686161423266e-06,0.3
17,35,8e-06,0.000110211016562,-5.257429635284143e-15,-0.00014600519515147703,0.3
17,234,6.5790290832e-06,0.0001001358200039,2.990983196108215e-15,0.00011966771082031818,0.3
18,141,4.9060659408e-06,4.6901436809245645e-05,-7.839648767201958e-17,-5.277747211667934e-06,0.3
19,20,2.459624052e-06,0.0001369710467053,1.151851226662484e-18,2.424203340238847e-07,0.3
19,68,4.128042698e-06,4.775517243930367e-05,-4.9239899505379824e-17,-4.4345464116243086e-06,0.3
20,190,4.8981599808e-06,6.270455542867998e-05,-1.1142483876155377e-16,-7.522045698927228e-06,0.3
21,42,6.486865997399999e-06,3.112022690677112e-05,7.604001051558198e-17,3.1218062498671953e-06,0.3
21,6552,5.9523482322e-06,8.547969471230953e-05,-1.1223851448336639e-16,-5.3833542312881425e-06,0.3
21,43,6.5180640220000005e-06,4.11912947186366e-05,3.619850396778435e-17,1.4731564088878622e-06,0.3
22,6552,4.449455261199999e-06,2.870601334439801e-05,-2.8781074756678847e-16,-2.287264821158279e-05,0.3
22,34,6.291178226399999e-06,1.0292528739883944e-05,3.8570130405430995e-16,1.674246092319618e-05,0.3
23,290,6.9379057884e-06,0.0001500912736121,-4.8568866928759004e-17,-1.7622035622463736e-06,0.3
23,71,2.6174137115999995e-05,4.278388073296751e-05,2.0239889670774855e-15,5.124777926482823e-06,0.3
24,105,4.620610713999999e-06,0.0001797179616522,-5.624579064206924e-17,-4.194076868862334e-06,0.3
24,149,1.91862010956e-05,4.940862690044403e-05,-1.4499143562021798e-15,-6.988520704516808e-06,0.3
25,94,4.5049853324e-06,3.248795220473156e-05,1.671001025047039e-16,1.30052970495433e-05,0.3
25,6557,2.4656403064e-06,6.811609816056008e-05,1.5058838154730576e-17,3.153858049418525e-06,0.3
26,41,2.4587109088e-06,0.0001220100064352,1.3126699890252368e-19,2.7647173547642956e-08,0.3
26,29,4.2097854614e-06,7.560477932315066e-06,-2.4390481707389466e-16,-2.1262960291689704e-05,0.3
26,30,3.7579767704e-06,1.8095647359318297e-05,2.437735500749923e-16,2.5614879414009905e-05,0.3
27,339,2.9870796204e-06,0.0001040742225992,-1.3595153136987955e-17,-2.0643316943997782e-06,0.3
27,49,5.534103393599999e-06,2.1416884392866083e-05,-9.013034253798344e-16,-4.920633456201522e-05,0.3
28,49,2.4586863518e-06,0.00011003264411,3.027831387105088e-18,6.377280864696023e-07,0.3
28,31,2.9136083126e-06,4.089876597875265e-05,-9.098652772196878e-18,-1.4371224632610507e-06,0.3
28,97,3.4137833118e-06,3.590216576710466e-05,2.4770118214585254e-17,3.0400601947783535e-06,0.3
28,47,3.1996033192e-06,4.8822840462817134e-05,-1.8699296829493555e-17,-2.5456205669078314e-06,0.3
29,45,3.922457933399999e-06,6.82842712474619e-06,-2.007510448920971e-17,-1.9667783767072063e-06,0.3
30,47,2.9750812054000003e-06,7.665126758756335e-05,1.8623275117027602e-17,2.8459055664969273e-06,0.3
30,53,4.1048116684e-06,3.319202367649561e-05,2.2515027495796394e-16,2.0467325757127533e-05,0.3
31,529,3.5507628918000003e-06,0.0001289907685487,2.5130147217970202e-17,2.8949389298110007e-06,0.3
31,182,4.348156452199999e-06,4.663348761681452e-05,-3.4228799990167494e-17,-2.8273089148795895e-06,0.3
32,39,3.2e-05,9.048236554280252e-05,-5.758739636231991e-14,-9.580334975472883e-05,0.3
32,1539,8e-06,0.0003865390991984,2.724454301859972e-15,7.566139912833044e-05,0.3
32,93,3.2e-05,0.0003678808391043,5.4862942060461436e-14,9.1270902294706e-05,0.3
33,6552,7.6903557778e-06,1.187831517751085e-05,1.6651287818096537e-15,4.9834487777323006e-05,0.3
33,209,4.368295192799999e-06,4.406960989614744e-05,2.077017255261448e-16,1.7024043379205713e-05,0.3
34,36,5.261778354599999e-06,6.667584713501614e-05,3.225559215620818e-16,1.9238628688178456e-05,0.3
34,117,5.140048027e-06,4.79520538198693e-05,6.314538249223406e-17,3.922701636753588e-06,0.3
35,96,1.8000000000000004e-05,0.000314493391963,-1.0194629712339026e-14,-5.603936118916369e-05,0.3
35,132,6.8884568214e-06,3.358432852190888e-05,4.937200077054821e-15,0.00018152010153268922,0.3
36,6552,6.4689407348e-06,8.508933173953023e-05,-1.265079519759514e-15,-5.220049979448528e-05,0.3
36,40,5.9523482322e-06,9.28179827587471e-05,1.587635441321595e-15,7.614858420144407e-05,0.3
37,40,4.351111888799999e-06,6.335800988982035e-05,2.1342905729313974e-16,1.7609272613148954e-05,0.3
37,194,3.836904049e-06,6.647969471230951e-05,-1.3315953432341958e-16,-1.3525443040311437e-05,0.3
38,52,7.2691545486e-06,2.70204508012418e-05,1.2259235778418751e-15,4.0784338143533215e-05,0.3
38,121,4.7375469208e-06,4.97804809446155e-05,-3.042035554677281e-16,-2.174060412771691e-05,0.3
39,46,3.6257427216000005e-05,0.0003229740085629,-1.1643146966198443e-13,-0.00014898123902128897,0.3
39,136,2e-05,0.0003631086156521,5.884407329966455e-14,0.0002603275252396696,0.3
40,157,1.2e-05,9.73859892256252e-05,1.8010644986147375e-15,2.259695302580229e-05,0.3
41,86,3.187918424599999e-06,3.9412755646655066e-05,6.9359402908848136e-18,9.497426007109485e-07,0.3
41,45,2.9238080978e-06,3.6070338854006464e-05,-6.804673291982269e-18,-1.0688656590900933e-06,0.3
42,43,6.8708586692e-06,9.2554162312527e-05,-1.2315584071519616e-17,-4.54937590125227e-07,0.3
42,73,5.152987956999999e-06,3.412022690677112e-05,3.1043593685463123e-16,1.920089650479766e-05,0.3
43,148,3.1879184245999995e-06,3.704843013704664e-05,2.3882919896271374e-17,3.2703030164007387e-06,0.3
44,205,3.2048346996e-06,0.0001167038264708,-1.4462662729410738e-17,-1.9637476476506794e-06,0.3
44,48,6.6884775162e-06,7.465393841805632e-05,1.1987815469640139e-17,4.6533049028035396e-07,0.3
44,48,4.4563117028e-06,5.294792507365829e-05,2.4748472597702493e-18,1.9617046431354235e-07,0.3
45,104,3.7486784458e-06,7.496837587490008e-05,-2.6879777781190938e-17,-2.835850130578844e-06,0.3
46,81,3.6e-05,9.90647521920774e-05,-1.2133380878787065e-13,-0.00015760083690166844,0.3
47,182,3.3631174564e-06,8.957947081783883e-05,-7.602171246612498e-20,-9.556752553084416e-09,0.3
48,118,6.586934089599999e-06,9.397177566325208e-05,2.494532896350011e-16,9.95857768900867e-06,0.3
48,166,3.8318376542e-06,3.47804809446155e-05,-2.3499062690559196e-16,-2.392034645424375e-05,0.3
49,53,3.8012275696e-06,4.1073738642358464e-05,-2.7085375812451985e-16,-2.7934387964242225e-05,0.3
49,110,6.736545085999999e-06,2.529179978202492e-05,-6.27421835868204e-16,-2.4036064228573196e-05,0.3
50,55,5.1914305686e-06,3.360550828100969e-05,-1.0356193867549227e-16,-6.323305073526023e-06,0.3
50,91,5.4545960426e-06,1.4949382989376326e-05,-1.116699491318122e-16,-6.253864423758502e-06,0.3
51,57,3.2051954269999994e-06,2.3192023676495603e-05,-3.624387024369769e-18,-4.920328074454863e-07,0.3
51,80,3.6848831176e-06,3.648455241637956e-05,6.083512758199135e-17,6.599800818258e-06,0.3
52,58,3.4715163708e-06,9.570042668246896e-05,-8.345160371373102e-17,-9.9696506546548e-06,0.3
52,95,2.1280473709999994e-05,6.067584713501613e-05,1.3093751815556006e-15,5.095304788390048e-06,0.3
53,86,3.2101902962e-06,5.970601334439803e-05,-4.570348316655598e-17,-6.189144226867624e-06,0.3
54,65,4.4443154336e-06,1.785300667219901e-05,-1.4816023153406083e-16,-1.179735775863601e-05,0.3
54,82,4.2025976182e-06,1.6902894724963672e-05,8.642468408894458e-17,7.555698293408334e-06,0.3
54,107,3.751876831e-06,8.17223353994288e-05,6.173554744511813e-17,6.5041402499029565e-06,0.3
55,99,6.2073783874e-06,3.285567750269199e-05,-7.03352787328706e-17,-3.1281507556340086e-06,0.3
55,342,4.418540001e-06,7.075031473523361e-05,-3.322665994262237e-17,-2.6716669887658625e-06,0.3
56,233,3.9182038308e-06,0.0001877481278616,-2.8034696672134306e-17,-2.7514810342531865e-06,0.3
56,6550,5.8371977806e-06,8.706742302257038e-06,2.7275695136121177e-17,1.3547387477038208e-06,0.3
56,6556,2.4741356372e-06,4.445924391106773e-05,7.590015360115983e-19,1.5787223731712324e-07,0.3
57,68,4.593460083e-06,4.560550828100968e-05,6.50832384278103e-17,4.9017274661037746e-06,0.3
57,283,4.207511424999999e-06,4.41912947186366e-05,-6.870762545217969e-17,-5.995126321352084e-06,0.3
58,6671,3.0244882106e-06,2.699927104214097e-05,-4.20708356226864e-17,-6.263381022430616e-06,0.3
58,129,3.0628564358e-06,2.9216603223948432e-05,-4.820221194835997e-17,-7.034092759421217e-06,0.3
59,338,5.165966034e-06,0.0001356025924495,8.093031481773365e-16,4.9838470976927745e-05,0.3
59,300,5.4867858886e-06,7.097177566325209e-05,1.1453196112655689e-15,6.348120514437802e-05,0.3
59,1040,6.555931091399999e-06,0.0002453650484224,1.5813174582848343e-15,6.36762578198734e-05,0.3
60,79,3.824439048799999e-06,2.6170843917394783e-05,8.447101793225967e-17,8.625729733321107e-06,0.3
60,203,3.1187016964e-06,8.343320644789686e-05,-1.1954624206972558e-17,-1.6951576999430361e-06,0.3
60,89,3.2044537068e-06,8.313654896180189e-05,-7.251639372528717e-17,-9.848178887217306e-06,0.3
61,155,3.987046480199999e-06,9.011804003319408e-05,-2.1865461289897637e-18,-2.08546599449833e-07,0.3
61,131,5.2152314186e-06,2.155974897445605e-05,2.1347774355873523e-17,1.2931299409853923e-06,0.3
61,6554,4.6778330802e-06,6.280166070371632e-05,-1.916122822688346e-17,-1.3992695400968558e-06,0.3
62,160,4.7375469208e-06,0.0001075541623125,-1.3094390862254535e-16,-9.358206467776484e-06,0.3
62,142,5.279498100199999e-06,7.57975319575053e-05,6.970107975704871e-17,4.132970890923753e-06,0.3
62,258,3.7128562928e-06,3.74380641519669e-05,6.124282886549576e-17,6.562906521994784e-06,0.3
63,215,8.528883934e-06,0.0001625047582166,-2.5940968536610844e-16,-6.3740746360301785e-06,0.3
63,76,5.8238891602e-05,5.063081678632153e-05,-2.999664770752543e-15,-1.4039059778972624e-06,0.3
63,214,5e-05,0.0001081173110753,3.2590744561245436e-15,2.111847955596929e-06,0.3
64,113,9e-06,7.640522711209203e-05,-9.388561223939662e-16,-2.079442458018337e-05,0.3
64,171,4.2097854614e-06,4.997323357897013e-05,-2.2466468283086708e-17,-1.9585657582689366e-06,0.3
64,69,1e-05,5.58009317458573e-05,9.613225906770483e-16,1.73311888573487e-05,0.3
65,78,4.931825161e-06,4.184887792598798e-05,-2.2379163324268995e-16,-1.493103816425664e-05,0.3
65,306,3.7132239342e-06,0.0001193626225929,5.1920667557807904e-17,5.563029296794493e-06,0.3
65,82,3.4124569892e-06,3.782696920902816e-05,2.3710734150822236e-17,2.91185747390642e-06,0.3
66,382,4.2158837318e-06,0.0001093913308866,-5.1113731599369097e-17,-4.4452458416968125e-06,0.3
66,74,4.4392352104e-06,1.77566303550217e-05,8.10678393622615e-18,6.467498495759049e-07,0.3
66,169,3.7579767704e-06,3.221660322394843e-05,4.300694766314271e-17,4.519020943892985e-06,0.3
67,72,4.4e-05,7.677222345219346e-05,2.4619346137612984e-15,2.092944850549213e-06,0.3
67,157,4.4e-05,0.0001332144163503,-2.0873954678673177e-15,-1.7745408716838705e-06,0.3
67,6566,7.020605087199999e-06,0.0001127775651131,-3.745391458940553e-16,-1.3294083728875631e-05,0.3
68,6554,3.3187236786e-06,2.629519957037693e-05,-9.33533026720079e-17,-1.1987953119626567e-05,0.3
68,116,4.215362071999999e-06,4.263081678632152e-05,1.0919664159443891e-16,9.498539543929726e-06,0.3
69,76,4.8e-05,7.226163357264306e-05,5.1632007449145796e-15,3.649168939043303e-06,0.3
69,125,4.8e-05,7.399295542235292e-05,-4.201878154235665e-15,-2.9697398965523023e-06,0.3
70,83,5.049432277599999e-06,1.7928203230275506e-05,-6.615774547042083e-17,-4.2383202776815535e-06,0.3
70,178,4.2098822594e-06,9.597104670539309e-05,-1.0636651343169819e-17,-9.272389682759578e-07,0.3
70,91,5.726008415199999e-06,3.887345747344081e-05,7.679439681358835e-17,3.947106951506642e-06,0.3
71,200,4.6002764702e-06,0.0001124310195743,-5.3407231333805206e-17,-4.012270276912655e-06,0.3
72,130,8.9052400588e-06,0.0001646688025573,-3.5725987566117793e-16,-8.076763008009748e-06,0.3
72,90,4.4e-05,6.233683013071956e-05,2.819194489422909e-15,2.396659341134915e-06,0.3
73,134,4.5157284736e-06,8.194379632744727e-05,2.074692687353409e-17,1.6082502503497584e-06,0.3
73,115,4.488637924199999e-06,4.321660322394844e-05,2.2273666876530134e-16,1.74419458734449e-05,0.3
73,148,4.946747303000001e-06,6.0558291058738016e-05,6.695234121579601e-17,4.443821309633047e-06,0.3
74,261,4.2911686898e-06,5.043733519410789e-05,-4.851908335844714e-17,-4.0970100575228974e-06,0.3
75,238,4.4334101676e-06,9.940789794258504e-05,-1.2850944298896285e-17,-1.027497364535258e-06,0.3
75,430,4.4608149528e-06,8.416452829760674e-05,1.7361429241934898e-17,1.373830203267414e-06,0.3
75,124,4.3405241966e-06,3.289876597875266e-05,-4.5104849430387734e-18,-3.736638344102663e-07,0.3
76,195,3.4e-05,0.000110599921619,2.5444656929846636e-15,3.727204223290189e-06,0.3
76,6560,1.2e-05,5.31194979489121e-05,-3.809297188273473e-16,-4.779312994673007e-06,0.3
77,120,3.2674906254e-06,0.000152378460691,2.386520975473479e-17,3.1418387973196738e-06,0.3
77,138,5.4452009202e-06,4.91160981605601e-05,5.758511707432234e-16,3.234728467833762e-05,0.3
77,163,3.9481823444e-06,4.514480645422394e-05,2.714831648962937e-16,2.631361648074631e-05,0.3
78,104,3.7983298302e-06,0.0001005315246377,-2.978777898429983e-17,-3.075974931237744e-06,0.3
78,153,4.910357475199999e-06,1.9099047147670304e-05,-1.9400385425839062e-16,-1.3040988482286946e-05,0.3
79,600,4.0490865708e-06,0.0001132382669399,-5.5116870417162656e-17,-5.124839933492274e-06,0.3
80,85,4.3833656312e-06,3.253516942700322e-05,2.382481548233533e-17,1.9415411354275558e-06,0.3
80,135,4.1937618256e-06,3.653784025749622e-05,3.7010312099656303e-17,3.2469689358700795e-06,0.3
81,96,2e-05,0.0001181857080567,1.1993150065188343e-14,5.305797000827714e-05,0.3
81,353,4.4e-05,0.0003206043413923,-1.3332695885306033e-13,-0.00011334418485817464,0.3
82,89,3.7486784458e-06,3.014553541208296e-05,8.355783583637273e-17,8.815456050134227e-06,0.3
82,139,3.101728200999999e-06,3.0755901397162674e-05,2.657758240339345e-17,3.8015188049808205e-06,0.3
83,123,4.4392352104e-06,5.390483659759764e-05,-4.881042786078466e-17,-3.894039501365267e-06,0.3
83,144,2.4741356372e-06,1.4267220234572108e-05,-4.679077484804953e-18,-9.73247610259181e-07,0.3
83,168,3.4109396934e-06,5.233415930022655e-05,-1.2668240124829711e-17,-1.5568671060137007e-06,0.3
84,127,4.3781528472e-06,0.0001612307384054,-4.300988050860588e-18,-3.511973012183384e-07,0.3
84,254,4.6047487258e-06,4.243393540575588e-05,1.1242653894321189e-17,8.432271227982095e-07,0.3
84,133,4.1081786156e-06,5.533755908857857e-05,-6.941665843460236e-18,-6.301780051148716e-07,0.3
85,116,5.010532856e-06,8.803118619434352e-06,6.548384321784816e-17,4.251515471099672e-06,0.3
86,206,4.0613489152e-06,3.199854208428198e-05,-3.8767542875671554e-17,-3.5867127101859026e-06,0.3
87,6557,3.1747989654e-06,0.0001390886027816,-3.6387030328283054e-18,-5.015338037473273e-07,0.3
87,122,3.0738329888e-06,0.0001695225381874,1.47372158490242e-17,2.1384044421362287e-06,0.3
87,555,3.4094920158e-06,0.0001211479612416,-1.1098512816195871e-17,-1.3648850258564344e-06,0.3
88,104,3.861564159399999e-06,2.102457954745281e-05,5.666755676548969e-17,5.69592437471992e-06,0.3
88,138,5.3201751708e-06,2.5341687834789587e-05,-6.386479267737378e-17,-3.7364934906822965e-06,0.3
89,139,3.2278666496e-06,1.0610365985079726e-05,1.104144211108549e-17,1.4821887935682463e-06,0.3
90,114,4.4e-05,5.928694207795489e-05,3.032342681998282e-15,2.5778613152088502e-06,0.3
90,218,1.89348106384e-05,3.087345747344081e-05,-2.13148192574929e-16,-1.0556792944930642e-06,0.3
91,208,3.7579767704e-06,3.5291799782024934e-05,-3.4875552318225517e-17,-3.6646021147639817e-06,0.3
92,202,4.5064992904e-06,6.819396554912957e-05,5.5159673859950936e-17,4.290612776137333e-06,0.3
92,100,4.3559932708e-06,6.240862690044405e-05,-3.132090246087717e-17,-2.5793321288894834e-06,0.3
92,411,3.708885192799999e-06,8.975298556572661e-05,-2.3838771399073756e-17,-2.559058431440974e-06,0.3
94,240,3.2044537068e-06,6.882891108166211e-05,1.3784491926948575e-16,1.8720200411545602e-05,0.3
94,151,2.8981573582e-06,6.587685726179281e-05,2.925518323521848e-17,4.65984468919766e-06,0.3
95,137,5e-05,0.0001936919241891,6.452478422985615e-15,4.1811420848357355e-06,0.3
95,242,5e-05,0.0001266770600497,-5.143103241433018e-15,-3.33267994090565e-06,0.3
96,2593,7.0206689834e-06,0.0005700536248943,1.7985203528487667e-15,6.38365219551778e-05,0.3
97,196,3.4273309708e-06,4.065879612212634e-05,1.7837777130844226e-17,2.175363663975241e-06,0.3
97,580,3.6492066384e-06,0.0001511117244134,6.932341083741165e-18,7.640307576218613e-07,0.3
98,403,8.6978874206e-06,8.645365724913867e-05,-1.4781226452478593e-15,-3.497299650850571e-05,0.3
98,506,5.2036147118e-06,8.009006069738927e-05,-4.1963580407212644e-16,-2.5517997325270396e-05,0.3
99,620,4.2097854614e-06,0.0001269197007369,-1.4470679995474886e-17,-1.2615146261925274e-06,0.3
99,172,4.7375469208e-06,5.6655396333774345e-05,-5.586459873739514e-17,-3.992491554005873e-06,0.3
100,310,3.1995651722e-06,9.13825894372732e-05,-1.0367151828685373e-17,-1.4113544845889607e-06,0.3
100,233,3.7856726646e-06,5.0387447141343216e-05,-2.0953750632191746e-17,-2.1755586745474643e-06,0.3
101,105,6.5314426422e-06,1.2071067811865474e-05,4.81068321966666e-17,1.950461902881136e-06,0.3
101,135,6.3678092956e-06,4.063081678632152e-05,-4.840035644308235e-17,-2.055269316540076e-06,0.3
101,102,6.7664628028e-06,1.0756630355021698e-05,2.9352424641756637e-19,1.115334810601277e-08,0.3
102,108,5.5130457878e-06,2.2999271042140983e-05,-1.2075321572211208e-16,-6.636917888034595e-06,0.3
102,227,6.4443063736e-06,3.03628675938904e-05,1.8081451670941314e-16,7.512973161311842e-06,0.3
106,272,2.4585855008e-06,8.144612871457564e-05,5.662653273846714e-18,1.1927775513411652e-06,0.3
106,165,3.6963207722e-06,5.545851495320871e-05,-5.6626532738467036e-18,-6.11238526895488e-07,0.3
107,470,3.7577905654e-06,0.0001829681308739,2.7101694948064602e-17,2.8479819533605495e-06,0.3
107,948,3.8012275696e-06,0.0002042735818805,2.5992761568344538e-17,2.6807524877626942e-06,0.3
107,470,2.998041153e-06,0.0001303380430454,8.641090928709065e-18,1.30449734772372e-06,0.3
108,226,4.5792703628e-06,0.0001433278436804,-3.215608135352276e-17,-2.4345351692778875e-06,0.3
109,119,3.4171102046e-06,0.0001385020873861,1.815746582119448e-17,2.224999690544695e-06,0.3
109,160,2.9623875618e-06,0.0001326532094601,1.8917366415603056e-18,2.9104887000868985e-07,0.3
109,120,2.4741356372e-06,1.2024579547452824e-05,-2.004920246275472e-17,-4.170231941626397e-06,0.3
110,162,5.271343708e-06,4.016671517118376e-05,-4.74867970550383e-16,-2.8233625157461086e-05,0.3
110,161,6.966238975599999e-06,1.258505747976789e-05,-1.5255386531783827e-16,-5.493431981938474e-06,0.3
111,144,4.2092137336e-06,8.479607404178727e-05,-2.8953789875963674e-17,-2.524682775107782e-06,0.3
111,454,3.320255518e-06,0.0001182423956861,-2.148723502898278e-18,-2.757243673806827e-07,0.3
111,197,5.8371977806e-06,2.0192023676495608e-05,3.110251337886194e-17,1.544810492089728e-06,0.3
112,6549,7.1223115922e-06,5.426576231885408e-05,-5.411019955461122e-16,-1.8699669905499917e-05,0.3
112,259,3.8866915702e-06,4.643393540575587e-05,-1.4264129473173464e-17,-1.4186130801861728e-06,0.3
113,245,8.199999809199999e-06,4.301972184338279e-05,-9.259831247881685e-16,-2.4533536600168905e-05,0.3
